gross_profit,category,volume,volume_range,package,flavor,price,StorePerOrder,AmountPerOrder,Sale_Store,initial_days,
15.05914871,Biscuit,115g,100-299g/ml,Bag,Original,3.5,7.2631,1.893008518,198,2841,
0,Cookies,44g,0-149g/ml,Bag,Chocolate,4.9,0,0,0,1220,
4.763543636,Pastry,60g,0-149g/ml,Box,Vanilla,5,10.5572,2.259686216,80,2312,
103.9663491,Pastry,84g,0-149g/ml,Bag,Original,5.5,1.9736,0.297470925,215,2841,
41.00680441,Biscuit,168g,150-199g/ml,Bag,Original,6.5,5.4526,0.824875295,172,2841,
9.234831354,Biscuit,60g,0-149g/ml,Box,Strawberry,6.9,15.9553,2.58698908,32,420,
48.64876302,Pastry,40g,0-149g/ml,Bag,Chocolate,6.9,8.8013,1.196606989,31,198,
40.12711176,Biscuit,95g,0-149g/ml,Bag,Vanilla,6.9,3.1826,0.398340889,231,1379,
25.66895611,Biscuit,25g,0-99g/ml,Can,Strawberry,3,3.5161,0.942301917,57,800,
47.30015684,Biscuit,100g,0-149g/ml,Bag,Cheese,3.5,2.3718,0.599040119,230,2841,
6.9682565,Pastry,68g,0-149g/ml,Box,Chocolate,3.5,10.4357,2.307692308,4,2841,
8.811750002,Biscuit,45g,0-99g/ml,Can,Strawberry,4,11.7971,2.587060617,124,2841,
10.32782596,Biscuit,120g,0-149g/ml,Bag,Milk,4.5,8.2915,1.729411571,158,2841,
36.57077955,Wafer,135g,0-149g/ml,Box,Cheese,6.5,10.5845,1.620294314,164,1507,
7.649547581,Biscuit,116g,100-299g/ml,Bag,Milk,6.5,11.1819,1.837309619,82,266,
32.02287179,Pastry,68g,0-149g/ml,Bag,Coconut,6.8,12.2193,1.75896702,104,147,
7.456207049,Biscuit,60g,0-149g/ml,Box,Cheese,6.9,17.8881,2.83527356,32,420,
250.1274452,Biscuit,48g,0-99g/ml,Box,Chocolate,7.8,1.5432,0.179122974,231,2841,
32.26576484,Biscuit,48g,0-99g/ml,Box,Milk,8.5,8.8029,1.043513352,134,2389,
21.10401324,Biscuit,250g,100-299g/ml,Bag,Original,8.9,13.1552,1.594530379,104,611,
36.63125718,Pastry,184g,150-299g/ml,Box,Strawberry,9,9.5684,1.059201871,117,2841,
-40.245898,Biscuit,120g,100-299g/ml,Box,Chocolate,9.9,178.5714,6.428571429,1,644,
-4.997450222,Pastry,128g,0-149g/ml,Box,Original,11.8,178.5714,50.84745763,1,626,
-6.990348489,Wafer,153g,150-199g/ml,Bag,Chocolate,11.9,8.8194,0.876787437,188,288,
-1.133074737,Biscuit,157g,100-299g/ml,Bag,Mixed,12,40,3.362866834,22,1379,
28.67347312,Wafer,160g,150-199g/ml,Box,Chocolate,12.8,19.1106,1.534049242,74,490,
57.63520556,Pastry,270g,150-299g/ml,Bag,Original,12.9,5.4376,0.507765261,224,267,
25.06149002,Cookies,208g,200g/ml+,Bag,Chocolate,13.5,15.3343,1.17092507,107,1589,
23.45328271,Wafer,132g,0-149g/ml,Box,Milk,13.7,10.4619,0.770609693,39,203,
85.0128184,Biscuit,138g,100-299g/ml,Can,Milk,13.8,8.132,0.594015731,193,261,
3.563211436,Pastry,338g,300g/ml+,Bag,Cheese,14.9,5.977,0.572550085,225,183,
-24.958984,Pastry,375g,300g/ml+,Bag,Original,15,178.5714,10,1,1500,
0,Pastry,368g,300g/ml+,Bag,Original,15.9,0,0,0,762,
2.875704259,Wafer,345g,200g/ml+,Bag,Original,15.9,107.9137,5.438066465,6,2059,
17.11788261,Pastry,400g,300g/ml+,Bag,Original,16.9,23.1408,1.5518466,176,1274,
-47.54460232,Biscuit,225g,100-299g/ml,Bag,Original,16.9,46.7508,5.102908658,20,555,
31.04375569,Pastry,156g,150-299g/ml,Box,Coconut,17.5,14.3893,0.837152516,214,2841,
-45.59330856,Biscuit,285g,200g/ml+,Bag,Vanilla,17.5,178.5714,25,1,1379,
-8.229641458,Biscuit,438g,300g/ml+,Bag,Coconut,17.8,24.2014,1.901253639,80,420,
85.99841516,Biscuit,126g,100-299g/ml,Box,Matcha,20.5,6.4017,0.350056401,34,295,
24.26165344,Cookies,320g,200g/ml+,Box,Matcha,20.8,11.3382,0.598096255,217,162,
-21.07451394,Pastry,420g,300g/ml+,Bag,Chocolate,21.5,27.1543,1.677863179,132,1008,
4.081383547,Biscuit,388g,200g/ml+,Bag,Matcha,21.8,12.72,0.682445602,212,1379,
0,Pastry,107g,0-149g/ml,Bag,Chocolate,22.7,0,0,0,533,
39.07727472,Biscuit,800g,300g/ml+,Box,Original,22.9,8.0867,0.364774812,201,2841,
10.32850077,Biscuit,300g,300g/ml+,Bag,Chocolate,24.9,40.4115,2.026985524,22,1771,
-10.39383389,Wafer,100g,0-149g/ml,Box,Cheese,25.9,57.5954,2.663756266,8,487,
-27.19785361,Biscuit,104g,100-299g/ml,Box,Original,26.7,180.1802,27.48091603,2,533,
-18.57496546,Biscuit,388g,200g/ml+,Box,Original,33.8,16.3565,0.409573058,209,1170,
-884.0509177,Biscuit,550g,300g/ml+,Bag,Original,45.5,57.2831,0.41930256,7,2250,
-143.8535272,Cookies,708g,200g/ml+,Box,Original,105,178.5714,11.25,1,890,
49.19747258,Biscuit,95g,0-149g/ml,Bag,Strawberry,6.9,2.8462,0.349144808,227,1379,
72.6092223,Pastry,242g,150-299g/ml,Bag,Original,6.9,3.4373,0.478445026,226,252,
0,Biscuit,102g,100-299g/ml,Box,Original,9.8,0,0,0,616,
-68.45227457,Pastry,30g,0-99g/ml,Bag,Strawberry,9.9,140,7.768187423,7,757,
-50.133398,Biscuit,156g,150-199g/ml,Box,Cheese,9.9,178.5714,6.428571429,1,644,
55.09365363,Pastry,240g,150-299g/ml,Bag,Strawberry,10.5,4.977,0.494704904,66,2841,
9.167608122,Cookies,90g,0-149g/ml,Bag,Original,10.5,29.9219,2.700004219,64,730,
-4.910950577,Pastry,240g,150-299g/ml,Bag,Milk,11.5,56.5075,5.297645683,124,1274,
19.69093726,Biscuit,290g,100-299g/ml,Bag,Milk,12.9,19.3548,1.692543812,150,785,
0,Pastry,100g,0-149g/ml,Box,Vanilla,12.9,0,0,0,2841,
-12.36781521,Wafer,160g,150-199g/ml,Box,Cheese,12.9,32.4807,3.388261869,24,487,
-33.52042439,Pastry,256g,150-299g/ml,Bag,Milk,14.9,180.1802,5.69259962,4,559,
4.338762435,Pastry,224g,150-299g/ml,Bag,Chocolate,15.8,18.3742,1.479628968,108,420,
56.87045261,Biscuit,203g,200g/ml+,Bag,Original,16.8,4.8261,0.30887162,219,469,
-34.501836,Cookies,110g,0-149g/ml,Box,Cheese,18,47.9904,4.062059238,8,611,
-65.128385,Pastry,135g,0-149g/ml,Bag,Original,19.5,178.5714,6.428571429,1,930,
-26.10148568,Biscuit,140g,100-299g/ml,Box,Milk,19.8,10.5711,0.679602542,218,469,
115.598431,Wafer,110g,0-149g/ml,Bag,Chocolate,19.9,7.9946,0.414064984,33,1924,
-151.0493504,Wafer,272g,200g/ml+,Box,Chocolate,21.9,14.8967,1.060914819,96,2841,
38.95233081,Biscuit,1000g,200g/ml+,Box,Milk,24.9,11.0485,0.460247804,185,2841,
-39.970576,Pastry,123g,0-149g/ml,Bag,Cheese,26.9,178.5714,8.035714286,1,633,
-11.005,Wafer,416g,200g/ml+,Box,Milk,26.9,178.5714,33.45724907,1,661,
12.21682667,Wafer,405g,200g/ml+,Can,Cheese,28,179.6407,9.764918626,3,1507,
23.37589093,Wafer,300g,200g/ml+,Box,Matcha,27.9,52.9474,2.339302888,15,1379,
-21.13794163,Wafer,350g,200g/ml+,Can,Cheese,29.8,53.9957,3.700810066,15,441,
8.374416012,Pastry,680g,300g/ml+,Box,Chocolate,29.9,19.174,0.690832801,196,2841,
-20.16344982,Wafer,480g,200g/ml+,Box,Chocolate,31.5,9.6064,0.340533003,221,2841,
0,Biscuit,918g,300g/ml+,Bag,Mixed,48,0,0,0,374,
-227.420315,Pastry,400g,300g/ml+,Can,Vanilla,49,90.0901,1.201602136,1,790,
0,Cookies,400g,200g/ml+,Box,Original,49,0,0,0,435,
27.90354143,Cookies,500g,200g/ml+,Can,Original,58,74.1525,1.338474776,7,1165,
28.40642311,Wafer,31g,0-149g/ml,Bag,Chocolate,4.5,6.7642,1.234002482,203,132,
31.70019804,Wafer,31g,0-149g/ml,Bag,Chocolate,4.5,5.9611,1.101808719,199,132,
0.298131547,Biscuit,48g,0-99g/ml,Box,Strawberry,4.8,80.6952,15.53681694,13,1000,
31.09026343,Biscuit,47g,0-99g/ml,Box,Vanilla,5.5,4.0264,0.654156497,210,2038,
4.515268756,Biscuit,97g,0-149g/ml,Bag,Matcha,6.5,43.8982,6.325332958,10,346,
161.1100044,Biscuit,97g,0-149g/ml,Bag,Matcha,6.9,1.684,0.225207686,229,1379,
