大类,中类,小类,细分类,棚格图分类,棚格图名称,商品编码,名称,品牌,规格/容量/尺寸,规格,品种,包装,口味,售价,价格带,尺码,含糖量,成分特点,脂肪含量,是否有机,配方,片数范围,功效,适用人群/场景,进口/国产,肉种,酒精度数,香味,面条形状,加工工艺,颜色,订单数,销售,毛利,每订单门店数,每金额门店数,在售门店数,订单同比增长率,销售同比增长率,上市天数
23,2301_饼干糕点,2313_休闲糕饼,23131_休闲饼干,2314,饼干,800024109,达利115g手指饼,达利,115g,100-299g/ml,休闲饼干,袋,原味,3.5,0-9.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.1377,0.528259641,15.05914871,7.2631,1.893008518,198,-0.54778325,-0.568487674,2841
23,2301_饼干糕点,2311_饼干,23116_曲奇饼干,2316,曲奇,104871231,好丽友蘑菇力44.8g曲奇,好丽友,44g,0-149g/ml,曲奇饼干,袋,巧克力,4.9,0-9.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0,0,0,0,0,0,0,0,1220
23,2301_饼干糕点,2312_糕饼,23125_含馅饼、酥,2336,糕点,101761183,爱时乐60g香草牛奶味夹心棒,爱时乐,60g,0-149g/ml,含馅饼、酥,盒,香草,5,0-11.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.0947,0.442539319,4.763543636,10.5572,2.259686216,80,15.91071429,15.25654643,2312
23,2301_饼干糕点,2311_饼干,23113_雪米饼,2336,糕点,800023273,旺旺84g雪饼,旺旺,84g,0-149g/ml,雪米饼,袋,原味,5.5,0-9.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.5067,3.36167308,103.9663491,1.9736,0.297470925,215,24.20895522,26.09061579,2841
23,2301_饼干糕点,2311_饼干,23117_无糖及粗粮饼干,2314,饼干,800027271,好吃点168g高钎煎麦饼,好吃点,168g,150-199g/ml,无糖及粗粮饼干,袋,原味,6.5,0-9.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.1834,1.212304461,41.00680441,5.4526,0.824875295,172,-0.33357558,-0.353176693,2841
23,2301_饼干糕点,2311_饼干,23115_夹心饼干,2314,饼干,108819376,易格芝60g草莓味注心饼干,易格芝,60g,0-149g/ml,夹心饼干,盒,草莓,6.9,0-9.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.0627,0.386549757,9.234831354,15.9553,2.58698908,32,-0.09913793,-0.164981548,420
23,2301_饼干糕点,2312_糕饼,23121_面包,2336,糕点,109502602,几牛40g迷你夹心牛角面包巧克力味,几牛,40g,0-149g/ml,面包,袋,巧克力,6.9,0-11.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.1136,0.835696272,48.64876302,8.8013,1.196606989,31,0.05,0.05,198
23,2301_饼干糕点,2311_饼干,23115_夹心饼干,2314,饼干,104196941,奥利奥巧轻脆薄片夹心95g柔滑香草慕斯味,奥利奥,95g,0-149g/ml,夹心饼干,袋,香草,6.9,0-9.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.3142,2.510412631,40.12711176,3.1826,0.398340889,231,-0.41576794,-0.232168516,1379
23,2301_饼干糕点,2313_休闲糕饼,23131_休闲饼干,2314,饼干,107135765,喜之郎25G开心时间巧克趣草莓味,喜之郎,25g,0-99g/ml,休闲饼干,罐,草莓,3,0-9.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.2844,1.061230994,25.66895611,3.5161,0.942301917,57,-0.2332165,-0.231355948,800
23,2301_饼干糕点,2311_饼干,23112_苏打饼干,2314,饼干,800027936,太平100g奶盐苏打饼干,太平,100g,0-149g/ml,苏打饼干,袋,奶油、奶酪,3.5,0-9.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.4216,1.669337275,47.30015684,2.3718,0.599040119,230,-0.25564972,-0.168913664,2841
23,2301_饼干糕点,2312_糕饼,23123_派,2336,糕点,800335664,好丽友68g巧克力派,好丽友,68g,0-149g/ml,派,盒,巧克力,3.5,0-11.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.0958,0.433333333,6.9682565,10.4357,2.307692308,4,16.10714286,14.75757576,2841
23,2301_饼干糕点,2313_休闲糕饼,23131_休闲饼干,2314,饼干,800249025,滨崎45g草莓味心宠杯,滨崎,45g,0-99g/ml,休闲饼干,罐,草莓,4,0-9.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.0848,0.386539068,8.811750002,11.7971,2.587060617,124,-0.61767358,-0.621606112,2841
23,2301_饼干糕点,2311_饼干,23115_夹心饼干,2314,饼干,800219027,真巧120g巧克力酱心牛奶味饼干,真巧,120g,0-149g/ml,夹心饼干,袋,牛奶,4.5,0-9.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.1206,0.578231357,10.32782596,8.2915,1.729411571,158,-0.31555051,-0.342089841,2841
23,2301_饼干糕点,2311_饼干,23111_威化饼干,2312,威化,103625011,钙芝135g奶酪味威化饼干,钙芝,135g,0-149g/ml,威化饼干,盒,奶油、奶酪,6.5,0-9.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.0945,0.617171826,36.57077955,10.5845,1.620294314,164,-0.46610169,-0.436295293,1507
23,2301_饼干糕点,2313_休闲糕饼,23131_休闲饼干,2314,饼干,109262776,好吃点116g瑞多滋轻层脆饼干牛奶味,好吃点,116g,100-299g/ml,休闲饼干,袋,牛奶,6.5,0-9.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.0894,0.544274079,7.649547581,11.1819,1.837309619,82,0.05,0.05,266
23,2301_饼干糕点,2312_糕饼,23122_蛋糕蛋卷,2336,糕点,109688769,每食驿站68g海岛椰汁卷,每食驿站,68g,0-149g/ml,蛋糕蛋卷,袋,椰子,6.8,0-11.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.0818,0.568515491,32.02287179,12.2193,1.75896702,104,0.05,0.05,147
23,2301_饼干糕点,2311_饼干,23115_夹心饼干,2314,饼干,108818955,易格芝60g酸奶味注心饼干,易格芝,60g,0-149g/ml,夹心饼干,盒,奶油、奶酪,6.9,0-9.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.0559,0.352699653,7.456207049,17.8881,2.83527356,32,-0.26928105,-0.321191377,420
23,2301_饼干糕点,2313_休闲糕饼,23131_休闲饼干,2314,饼干,800226964,格力高48g百醇红酒巧克力味饼干,格力高,48g,0-99g/ml,休闲饼干,盒,巧克力,7.8,0-9.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.648,5.582756792,250.1274452,1.5432,0.179122974,231,0.02063317,0.152875268,2841
23,2301_饼干糕点,2313_休闲糕饼,23131_休闲饼干,2314,饼干,800226957,格力高48g牛奶味慕思百奇,格力高,48g,0-99g/ml,休闲饼干,盒,牛奶,8.5,0-9.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.1136,0.958301107,32.26576484,8.8029,1.043513352,134,-0.40771637,-0.400841603,2389
23,2301_饼干糕点,2313_休闲糕饼,23131_休闲饼干,2314,饼干,108124582,格兰娜250g原味饼干,格兰娜,250g,100-299g/ml,休闲饼干,袋,原味,8.9,0-9.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.076,0.6271439,21.10401324,13.1552,1.594530379,104,-0.43745374,-0.48299551,611
23,2301_饼干糕点,2312_糕饼,23125_含馅饼、酥,2336,糕点,800025717,徐福记184果酱包馅草莓酥,徐福记,184g,150-299g/ml,含馅饼、酥,盒,草莓,9,0-11.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.1045,0.944107094,36.63125718,9.5684,1.059201871,117,-0.45629553,-0.442262293,2841
23,2301_饼干糕点,2313_休闲糕饼,23131_休闲饼干,2314,饼干,107506781,温文120g巧克力威化卷注心威化饼干,温文,120g,100-299g/ml,休闲饼干,盒,巧克力,9.9,0-9.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.0056,0.155555556,-40.245898,178.5714,6.428571429,1,-0.9611381,-0.84873078,644
23,2301_饼干糕点,2312_糕饼,23126_奶芙,2336,糕点,107373237,芭米128g牛轧奶芙牛奶原味,芭米,128g,0-149g/ml,奶芙,盒,原味,11.8,0-11.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.0056,0.019666667,-4.997450222,178.5714,50.84745763,1,-0.96803653,-0.989422608,626
23,2301_饼干糕点,2311_饼干,23111_威化饼干,2312,威化,109204613,奥利奥153.6g巧克棒奶白巧克力味,奥利奥,153g,150-199g/ml,威化饼干,袋,巧克力,11.9,10-14.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.1134,1.14052729,-6.990348489,8.8194,0.876787437,188,0.05,0.05,288
23,2301_饼干糕点,2313_休闲糕饼,23131_休闲饼干,2314,饼干,104196984,奥利奥157g零食畅享装,奥利奥,157g,100-299g/ml,休闲饼干,袋,混合,12,10-14.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.025,0.297365328,-1.133074737,40,3.362866834,22,-0.74012474,-0.739832915,1379
23,2301_饼干糕点,2311_饼干,23111_威化饼干,2312,威化,108064701,Tango160g奥朗探戈咔咔脆威化饼干巧克力味,Tango,160g,150-199g/ml,威化饼干,盒,巧克力,12.8,10-14.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.0523,0.651869557,28.67347312,19.1106,1.534049242,74,-0.18025078,-0.188028446,490
23,2301_饼干糕点,2312_糕饼,23124_华夫饼,2336,糕点,109264157,惠溪原270g华夫软饼,惠溪原,270g,150-299g/ml,华夫饼,袋,原味,12.9,12-19.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.1839,1.969413973,57.63520556,5.4376,0.507765261,224,0.05,0.05,267
23,2301_饼干糕点,2311_饼干,23116_曲奇饼干,2316,曲奇,103258021,好吃点208g甄好曲奇巧克力豆味,好吃点,208g,200g/ml以上,曲奇饼干,袋,巧克力,13.5,10-14.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.0652,0.854025613,25.06149002,15.3343,1.17092507,107,-0.22748815,-0.17329273,1589
23,2301_饼干糕点,2311_饼干,23111_威化饼干,2312,威化,109491026,雀巢132g脆脆鲨鲨明治芝士牛奶味威化饼干,雀巢,132g,0-149g/ml,威化饼干,盒,牛奶,13.7,10-14.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.0956,1.297673789,23.45328271,10.4619,0.770609693,39,0.05,0.05,203
23,2301_饼干糕点,2313_休闲糕饼,23131_休闲饼干,2314,饼干,109287404,令和138g北海道风味小圆饼_牛乳味,令和,138g,100-299g/ml,休闲饼干,罐,牛奶,13.8,10-14.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.123,1.683457101,85.0128184,8.132,0.594015731,193,0.05,0.05,261
23,2301_饼干糕点,2312_糕饼,23121_面包,2336,糕点,109552845,惠溪原338g乳酪馅手撕面包棒,惠溪原,338g,300g/ml以上,面包,袋,奶油、奶酪,14.9,12-19.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.1673,1.746572091,3.563211436,5.977,0.572550085,225,0.05,0.05,183
23,2301_饼干糕点,2312_糕饼,23122_蛋糕蛋卷,2336,糕点,102560308,回头客375g枣泥蛋糕原味,回头客,375g,300g/ml以上,蛋糕蛋卷,袋,原味,15,12-19.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.0056,0.1,-24.958984,178.5714,10,1,0,-0.092153613,1500
23,2301_饼干糕点,2313_休闲糕饼,23132_休闲糕点,2336,糕点,107629811,喜获368g原味小情酥,喜获,368g,300g/ml以上,休闲糕点,袋,原味,15.9,15元以上,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0,0,0,0,0,0,0,0,762
23,2301_饼干糕点,2311_饼干,23111_威化饼干,2312,威化,102224072,嘉士利115g*3威化饼,嘉士利,345g,200g/ml以上,威化饼干,袋,原味,15.9,15-24.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.0093,0.183888889,2.875704259,107.9137,5.438066465,6,-0.96594654,-0.943412244,2059
23,2301_饼干糕点,2312_糕饼,23122_蛋糕蛋卷,2336,糕点,104577621,达利园400g长崎蛋糕,达利园,400g,300g/ml以上,蛋糕蛋卷,袋,原味,16.9,12-19.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.0432,0.644393589,17.11788261,23.1408,1.5518466,176,-0.32605304,-0.373238533,1274
23,2301_饼干糕点,2313_休闲糕饼,23131_休闲饼干,2314,饼干,108339920,乒乓225g较较饼,乒乓,225g,100-299g/ml,休闲饼干,袋,原味,16.9,15元以上,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.0214,0.195966667,-47.54460232,46.7508,5.102908658,20,0.08080808,-0.375314787,555
23,2301_饼干糕点,2312_糕饼,23125_含馅饼、酥,2336,糕点,800027266,十月初五156g椰蓉酥,十月初五,156g,150-299g/ml,含馅饼、酥,盒,椰子,17.5,12-19.9元,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,无,0.0695,1.194525467,31.04375569,14.3893,0.837152516,214,-0.28202479,-0.285591198,2841
